id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm;
"1285950,""Navine's Homestay, Economy Double"",1354282,Navine,Ward 63,-34.00768,18.51565,Shared room,600,5,0,3,210,0";
790177,Gables Rest Self Catering Unit Somerset West,4171143,Rob,Ward 84,-34.08073,18.85926,Entire home/apt,3,2,2023-03-07,0.03,1,0,0;
"795400,""Woodstock House, Cape Town"",4190050,Rob,Ward 57,-33.93292,18.44942,Entire home/apt,1500,7,6,2019-01-07,0.05,1,365,0";
1318508,Charming Atlantic Seaboard cottage,2900415,Christophe,Ward 54,-33.92384,18.38679,Entire home/apt,849,2,13,2024-03-23,0.13,1,93,4;
795614,Architectural Home Magnificent View,4173981,Lisa,Ward 77,-33.92842,18.40144,Entire home/apt,5837,5,19,2024-02-14,0.15,1,349,3;
"1331613,""Self Cater in Rondebosch, Cape Town"",7223146,Wendy,Ward 58,-33.97549,18.49216,Entire home/apt,1200,2,147,2024-04-15,1.12,2,342,14";
800546,Glen Beach Villa Three,4214801,Mary-Louise,Ward 54,-33.9469,18.37914,Entire home/apt,7000,1,97,2024-04-09,0.85,11,266,12;
800623,Glen Beach Bungalow Penthouse,4214801,Mary-Louise,Ward 54,-33.94707,18.37825,Entire home/apt,6143,1,108,2024-06-17,0.95,11,169,13;
1333749,sea view apartment,7231028,Barbara,Ward 54,-33.95773,18.38381,Entire home/apt,2335,1,144,2024-04-03,1.12,4,237,20;
801953,123 Ocean View Dr Apartment,4218169,Roy,Ward 115,-33.91177,18.40159,Entire home/apt,1200,3,37,2022-09-30,0.31,1,163,0;
801981,The Perfect Holiday Home in Cape Town,4221634,Tim,Ward 74,-34.04001,18.36203,Entire home/apt,4500,6,25,2024-03-28,0.20,1,49,5;
1348581,Deluxe Double /with options Self catering,3006485,Gordon,Ward 115,-33.91336,18.41577,Private room,1257,2,8,2023-01-17,0.08,2,364,0;
807366,Cosy Cape Town Beach Cottage In Security Estate,4248754,Michaela,Ward 55,-33.88519,18.48619,Entire home/apt,1362,4,25,2022-09-30,0.20,1,29,0;
810042,Pineapple Cottage - Kalk Bay,4260566,Carol,Ward 64,-34.12797,18.44605,Entire home/apt,1600,3,42,2024-03-01,0.30,3,111,6;
1410077,A heaven of peace and relaxation !,7603872,Adi,Ward 69,-34.097271,18.360401,Entire home/apt,7783,3,29,2024-02-29,0.25,1,107,6;
811611,8 On Burnside Under Table Mountain!,4267926,Ursula,Ward 77,-33.92922,18.40736,Entire home/apt,1136,2,298,2024-05-19,2.17,1,293,19;
812750,Lovely Room in 'The White House',3576139,Angela,Ward 57,-33.9363,18.44329,Private room,600,5,89,2024-05-13,0.64,3,234,7;
1469709,Lovely 1-Bedroom De Waterkant Apt. WiFi included,1852795,Jenny,Ward 115,-33.91587,18.41832,Entire home/apt,1080,5,26,2022-12-12,0.20,3,285,0;
1495471,Private room at Mountview B&B,7849376,Joe,Ward 54,-33.91721,18.39219,Private room,1,4,2019-01-23,0.03,1,0,0;
842387,The perfect place to stay and meet,4397998,Adam,Ward 77,-33.93008,18.40549,Private room,584,2,90,2024-04-16,0.65,17,335,3;
"855361,""Spacious, Peaceful Estate - Mountain & Sea Views"",4468950,Ashley & Debbie,Ward 74,-34.01501,18.36165,Entire home/apt,3000,2,23,2023-04-30,0.18,3,212,0";
1519294,Clifton Penthouse on 1st Beach. Backup power.,8109114,Margot,Ward 54,-33.93564,18.37775,Entire home/apt,4150,5,79,2023-11-19,0.62,1,159,5;
857701,Bay Splendour in Simon's Town (Self Catering),4486696,Fatima,Ward 61,-34.18236,18.42457,Entire home/apt,2500,5,32,2024-03-10,0.40,1,318,4;
